Instituicao,Data,RWA_Credito,RWA_Mercado,RWA_Operacional,Capital_Principal,Alavancagem,PIB,IPCA,Spread,NPL,Estresse_Alto,RWA_Credito_lag4,RWA_Mercado_lag4,RWA_Operacional_lag4,Capital_Principal_lag4,Alavancagem_lag4,PIB_lag4,IPCA_lag4,Spread_lag4,Prob_Estresse,Log_Odds_Estresse,Score_Robustez
SOCOPA - PRUDENCIAL,2018-06-01,882531.0,12393.0,443466.0,0.1707999999999999,0.0917,167.89,1.8887030879999989,30.82333333333333,0.0311163830460484,0,743291.0,8780.0,335089.0,0.1808,0.0755,165.65,0.2193980018000196,36.63666666666666,0.0874911506250816,-2.344660130928671,2.344660130928671
SOCOPA - PRUDENCIAL,2018-09-01,816645.0,23559.0,500363.0,0.1755,0.1013,169.35,0.7208535743999933,28.546666666666667,0.0358632685920791,0,790126.0,16957.0,284844.0,0.1801,0.078,166.12,0.5911447296000016,36.16333333333333,0.08398017401195175,-2.3894572613227205,2.3894572613227205
SOCOPA - PRUDENCIAL,2018-12-01,944296.0,35184.0,500363.0,0.1394999999999999,0.0888,169.09,0.3894135824999978,28.71666666666667,0.0171202910767601,0,836048.0,13956.0,284844.0,0.185,0.0935,167.13,1.144261174399985,33.526666666666664,0.08192470867738652,-2.416478765446181,2.416478765446181
SOCOPA - PRUDENCIAL,2019-03-01,907271.0,16891.0,611982.0,0.141,0.0919,169.51,1.507011320000018,30.386666666666667,0.0243230375828107,0,892353.0,36310.0,443466.0,0.1611,0.1193,167.98,0.7014778351999817,33.15,0.08853630945728291,-2.3316390143672865,2.3316390143672865
SOCOPA - PRUDENCIAL,2019-06-01,739768.0,43436.0,611982.0,0.156,0.1352,170.58,0.710811074100004,30.69666666666667,0.0519892927918137,0,882531.0,12393.0,443466.0,0.1707999999999999,0.0917,167.89,1.8887030879999989,30.82333333333333,0.08547387678219005,-2.370195238560454,2.370195238560454
SOCOPA - PRUDENCIAL,2019-09-01,731210.0,90054.0,660085.0,0.1424,0.1578999999999999,170.5,0.2600889164000142,30.59,0.0583008070710317,0,816645.0,23559.0,500363.0,0.1755,0.1013,169.35,0.7208535743999933,28.546666666666667,0.08481642636960054,-2.3786354409526416,2.3786354409526416
SOFISA - PRUDENCIAL,2017-03-01,2790300.0,9776.0,269187.0,0.2021,0.1601,164.34,0.9630321349999972,41.17333333333333,0.0216016305395594,0,2335523.0,23891.0,228815.0,0.2349,0.1898999999999999,163.26,2.6208101489999747,35.07,0.05993838757732922,-2.7526282574380407,2.7526282574380407
SOFISA - PRUDENCIAL,2017-06-01,2686242.0,259701.0,269187.0,0.1901,0.1567,165.65,0.2193980018000196,36.63666666666666,0.0193851121194725,0,2377022.0,9603.0,228815.0,0.2352,0.2044,163.72,1.7496396530000125,38.303333333333335,0.05873446005056664,-2.774198680732695,2.774198680732695
SOFISA - PRUDENCIAL,2017-09-01,2626796.0,24554.0,280695.0,0.2202,0.1599,166.12,0.5911447296000016,36.16333333333333,0.0172071992183246,0,2690768.0,33976.0,250985.0,0.2212,0.1946999999999999,162.92,1.043057830399996,39.71333333333333,0.053756622087878854,-2.868032945535357,2.868032945535357
SOFISA - PRUDENCIAL,2017-12-01,2797778.0,38883.0,280695.0,0.1841,0.1452,167.13,1.144261174399985,33.526666666666664,0.0157553806376218,0,2883655.0,26517.0,250985.0,0.2027,0.1679,162.73,0.7417894039999817,40.38,0.04863378011235709,-2.973580724282536,2.973580724282536
