Data;CNPJ;NOME_INSTITUICAO;NOME_CONGL;A;AA;B;C;D;E;F;G;H;S1;S2;S3;Bad_Debt;Total_Portfolio;NPL
01/01/2016;13220493;BR PARTNERS BI;BR PARTNERS - PRUDENCIAL;1081116,06;80802154,05;8638214,15;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;90521484,26;0,0
01/01/2016;13660104;AGIBANK FINANCEIRA;AGIBANK - PRUDENCIAL;228864609,26;0,0;12893609,83;13675740,14;13814819,38;9954853,72;9148255,5;7467055,71;48458508,11;0,0;0,0;0,0;75028673,03999999;344277451,65;0,21793083654016293
01/01/2016;14388334;PARANA BCO S.A.;PARANÁ BANCO - PRUDENCIAL;3094802473,58;0,0;578422798,01;142006997,02;35449019,53;24492924,85;24884116,22;13886390,64;67307982,0;0,0;0,0;0,0;130571413,71000001;3981252701,8499994;0,032796565173902774
01/01/2016;15114366;BCO BOCOM BBM S.A.;BBM - PRUDENCIAL;561652410,83;216699271,68;318742679,22;207020910,76;4407341,72;5097134,46;20715458,76;0,0;13083350,52;0,0;0,0;0,0;38895943,74;1347418557,95;0,028867009074876757
01/01/2016;17184037;BCO MERCANTIL DO BRASIL S.A.;MERCANTIL DO BRASIL - PRUDENCIAL;4524710591,38;685334912,55;803169658,5;634904164,82;511018734,08;188193260,7;106991843,49;135957278,56;503931721,94;0,0;0,0;0,0;935074104,69;8094212166,0199995;0,11552379472031864
01/01/2016;17312083;H H PICCHIONI S/A CCVM;H.H.PICCHIONI - PRUDENCIAL;0,0;5880700,47;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5880700,47;0,0
01/01/2016;17351180;BCO TRIANGULO S.A.;BCO TRIANGULO S.A. - PRUDENCIAL;769383287,02;141290357,43;229850607,48;227985933,77;28097352,89;15400855,08;14741188,22;15198033,69;76277275,41;0,0;0,0;0,0;121617352,4;1518224890,99;0,08010496542491546
01/01/2016;22639377;SINOSSERRA S/A - SCFI;SINOSSERRA FINANCEIRA S/A - PRUDENCIAL;84452,77;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;84452,77;0,0
01/01/2016;27406222;DACASA FINANCEIRA S/A - SCFI;DACASA FINANCEIRA - PRUDENCIAL;402685844,63;0,0;43435584,22;26353335,61;24961160,43;23076294,33;22122409,39;20026941,47;130441125,38;0,0;0,0;0,0;195666770,57;693102695,4599999;0,2823055974989961
01/01/2016;28127603;BCO BANESTES S.A.;BANESTES - PRUDENCIAL;805208066,11;1877061717,94;478498764,89;284538183,38;140626242,18;53373078,7;58360437,26;25858973,46;207798629,9;0,0;0,0;0,0;345391119,32000005;3931324093,82;0,0878561805329027
01/01/2016;28195667;BCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL;3995856602,5;404019999,18;4888510027,1;1637353897,82;208786064,67;165205763,53;40862687,83;19256380,65;79959419,88;0,0;0,0;0,0;305284251,89;11439810843,16;0,026686127600836433
01/01/2016;30306294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL;9847889843,64;41550779997,15;3232262913,49;1456321589,13;1126675621,65;594551347,4;186285111,93;51951685,17;1529974521,38;0,0;0,0;0,0;2362762665,88;59576692630,94;0,03965917813727285
01/01/2016;30723886;BCO MODAL S.A.;BCO MODAL S.A. - PRUDENCIAL;218187180,01;19395359,15;160519507,35;92581025,73;19183174,16;0,0;2747,22;19424683,75;0,0;0,0;0,0;0,0;19427430,97;529293677,37;0,036704445567029426
01/01/2016;31895683;BCO INDUSTRIAL DO BRASIL S.A.;INDUSTRIAL DO BRASIL - PRUDENCIAL;587052440,9;589861972,12;151194514,12;117138296,56;11904755,76;41181430,02;1704510,79;1142652,56;13847431,77;0,0;0,0;0,0;57876025,14;1515028004,6000001;0,03820129064563431
01/01/2016;33172537;BCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL;127419984,71;1581892617,76;50217327,42;0,0;80597478,57;0,0;0,0;0,0;1596773,56;0,0;0,0;0,0;1596773,56;1841724182,02;0,000866999290984311
01/01/2016;33466988;BCO CAIXA GERAL BRASIL S.A.;CAIXA GERAL - PRUDENCIAL;110439538,44;0,0;554073582,83;116684043,99;0,0;0,0;45671553,45;0,0;9350788,18;0,0;0,0;0,0;55022341,63;836219506,89;0,06579892142750252
