Instituicao,Data,RWA_Credito,RWA_Mercado,RWA_Operacional,Capital_Principal,Alavancagem,PIB,IPCA,Spread,NPL,Estresse_Alto_P90,NPL_Growth_QoQ,NPL_Growth_YoY,NPL_Volatility_4Q,NPL_Volatility_8Q,NPL_Delta,NPL_Acceleration,RWA_Credito_lag4,RWA_Mercado_lag4,RWA_Operacional_lag4,Capital_Principal_lag4,Alavancagem_lag4,PIB_lag4,Spread_lag4,NPL_Growth_QoQ_lag4,NPL_Growth_YoY_lag4,NPL_Volatility_4Q_lag4,NPL_Volatility_8Q_lag4,NPL_Delta_lag4,NPL_Acceleration_lag4,RWA_Operacional_lag4_x_Alavancagem_lag4,Prob_Estresse_Final,Log_Odds_Estresse_Final,Score_Robustez_Final
SOFISA - PRUDENCIAL,2023-12-01,7898042.0,32766.0,471368.0,0.1211999999999999,0.0753,185.03,1.083587763199989,30.41333333333333,0.0358342532589842,0,-0.03232136583163636,0.8864141999580215,0.008290368102255512,0.008442352390671877,-0.0011968973665337987,-0.6010119232952109,6953856.0,41326.0,465523.0,0.1247,0.0861,180.33,29.036666666666665,0.09396674920696135,0.3321635972036223,0.0012315744000263233,0.002962595878387449,0.001631666445400498,0.0649069331326706,40081.5303,0.012849298675032665,-4.341533482092256,4.341533482092256
SOFISA - PRUDENCIAL,2024-03-01,7994576.0,179279.0,508465.0,0.1177999999999999,0.075,186.65,1.415491577599992,29.896666666666665,0.0430461812288207,0,0.20125793937197112,1.0640261015308146,0.008151041263645614,0.010310556324296213,0.007211927969836503,0.23357930520360748,6995396.0,46645.0,491751.0,0.127,0.0883999999999999,182.74,30.19,0.09788826457327016,0.29708496096939174,0.0018005530957712836,0.0028873435816000512,0.001859481795609401,0.003921515366308803,43470.78839999995,0.011744179762615178,-4.432583813181721,4.432583813181721
SOFISA - PRUDENCIAL,2024-06-01,8075703.0,28695.0,508465.0,0.1206,0.0742,189.49,1.053515670799987,29.07333333333333,0.0331617645459905,0,-0.22962354384672545,0.40477803237036114,0.004177729638812269,0.009681818337159765,-0.009884416682830202,-0.43088148321869657,7113144.0,74479.0,491751.0,0.1276,0.0847,184.28,32.02333333333333,0.13190630609601794,0.3989859857965301,0.0026785586786690747,0.0031638159970670547,0.0027509646090339013,0.03401804152274779,41651.3097,0.011675871854441734,-4.438486231165426,4.438486231165426
SOFISA - PRUDENCIAL,2024-09-01,8234427.0,55999.0,537508.0,0.1217999999999999,0.0735,190.99,0.8015076655999875,28.473333333333333,0.0344390750353099,0,0.03851756704767495,-0.0699971658029418,0.004420747632012347,0.008642893840157147,0.0012773104893194012,0.2681411108944004,7095761.0,18171.0,471368.0,0.1311999999999999,0.0816,184.44,31.51333333333333,0.5686905574635746,1.132603053450155,0.008162040586158612,0.007237286113931114,0.013424741796619396,0.4367842513675566,38463.628800000006,0.011816029192296485,-4.426411869986441,4.426411869986441
SOFISA - PRUDENCIAL,2024-12-01,8399338.0,22803.0,537508.0,0.1206,0.0693,191.11,1.47713535680003,27.96,0.0334725854722639,0,-0.028063749158624973,-0.06590531605756822,0.004709033337692196,0.00719567670494716,-0.0009664895630459996,-0.06658131620629992,7898042.0,32766.0,471368.0,0.1211999999999999,0.0753,185.03,30.41333333333333,-0.03232136583163636,0.8864141999580215,0.008290368102255512,0.008442352390671877,-0.0011968973665337987,-0.6010119232952109,35494.0104,0.009150145264456984,-4.684793259049886,4.684793259049886
SOFISA - PRUDENCIAL,2025-03-01,0.0,0.0,0.0,0.0,0.0,193.61,2.040339737600028,29.313333333333333,0.1759457162589536,1,4.256412487309831,3.087371079996121,0.07112936665396942,0.050342824022393706,0.14247313078668972,4.284476236468456,7994576.0,179279.0,508465.0,0.1177999999999999,0.075,186.65,29.896666666666665,0.20125793937197112,1.0640261015308146,0.008151041263645614,0.010310556324296213,0.007211927969836503,0.23357930520360748,38134.875,0.008482561416959945,-4.761224077906266,4.761224077906266
SOFISA - PRUDENCIAL,2025-06-01,0.0,0.0,0.0,0.0,0.0,194.33,0.9327766831999762,31.666666666666668,0.084332346101559,0,-0.5206911091973376,1.543059672973747,0.06695316768034511,0.05001553281022565,-0.09161337015739461,-4.777103596507168,8075703.0,28695.0,508465.0,0.1206,0.0742,189.49,29.07333333333333,-0.22962354384672545,0.40477803237036114,0.004177729638812269,0.009681818337159765,-0.009884416682830202,-0.43088148321869657,37728.103,0.006617181214308846,-5.011446626432394,5.011446626432394
SOROCRED CFI S.A. - PRUDENCIAL,2018-03-01,337744.0,0.0,63622.0,0.1198,0.0,167.98,0.7014778351999817,33.15,0.2095328972235512,1,0.3032431009877017,0.011289070422191738,0.03477718084507912,0.03394033214798595,0.0487548374243085,0.6131494895363363,351790.0,0.0,47167.0,0.1192,0.0,164.34,41.17333333333333,0.11168540608458577,0.6805018138874892,0.028450784993217213,0.034770501678054615,0.020815719534261812,-0.22690049015230018,0.0,0.434208699264257,-0.2646999913698689,0.2646999913698689
SOROCRED CFI S.A. - PRUDENCIAL,2018-06-01,350314.0,0.0,63622.0,0.11,0.0,167.89,1.8887030879999989,30.82333333333333,0.1744324280419825,1,-0.16751770078433037,-0.2609621290879909,0.032896613675601344,0.03431197429273075,-0.0351004691815687,-0.47076080177203206,353413.0,0.0,47167.0,0.1339,0.0,165.65,36.63666666666666,0.13915711718240065,0.3127134258566151,0.040762485094209926,0.041918480994220235,0.02883250178935759,0.027471711097814877,0.0,0.3828414517401391,-0.4775050180938455,0.4775050180938455
SOROCRED CFI S.A. - PRUDENCIAL,2018-09-01,342801.0,0.0,72494.0,0.1014,0.0,169.35,0.7208535743999933,28.546666666666667,0.2414889227044428,1,0.3844267686643741,0.036521792853439594,0.03631749270094611,0.030069794905157106,0.0670564946624603,0.5519444694487045,370682.0,0.0,57324.0,0.1261,0.0,166.12,36.16333333333333,-0.012906608812632503,0.6732853985037484,0.02340851061124353,0.04342706035924145,-0.0030463000633476067,-0.15206372599503315,0.0,0.36673859544374876,-0.5462339781695923,0.5462339781695923
