Instituicao,Data,RWA_Credito,RWA_Mercado,RWA_Operacional,Capital_Principal,Alavancagem,PIB,IPCA,Spread,NPL,Estresse_Alto_P90,RWA_Credito_lag4,RWA_Mercado_lag4,RWA_Operacional_lag4,Capital_Principal_lag4,Alavancagem_lag4,PIB_lag4,IPCA_lag4,Spread_lag4,Prob_Estresse_P90,Log_Odds_Estresse_P90,Score_Robustez_P90,Alerta_Estresse
PAGSEGURO - PRUDENCIAL,2025-06-01,5404080.0,59668.0,9601364.0,0.2935999999999999,0.0,194.33,0.9327766831999762,31.666666666666668,0.0133446661561797,0,6133020.0,1096.0,10997148.0,0.3336,0.0,189.49,1.053515670799987,29.07333333333333,0.6812014116135349,0.759298501708715,-0.759298501708715,1
PAGSEGURO - PRUDENCIAL,2025-09-01,5811709.0,5981.0,11965928.0,0.2302,0.0,,0.6304326271999727,31.94666666666667,0.0142437168909326,0,6187717.0,47542.0,11833463.0,0.3056,0.0,190.99,0.8015076655999875,28.473333333333333,0.7509937035053824,1.1039190839081257,-1.1039190839081257,1
PAN - PRUDENCIAL,2018-12-01,16104753.0,32220.0,2278425.0,0.1216,0.0877999999999999,169.09,0.3894135824999978,28.71666666666667,0.0780894817115674,0,15585885.0,31176.0,2359044.0,0.0984,0.0722,167.13,1.144261174399985,33.526666666666664,0.0043530685844683,-5.432511690184746,5.432511690184746,0
PAN - PRUDENCIAL,2019-03-01,16866394.0,2626.0,2298576.0,0.1193,0.0844999999999999,169.51,1.507011320000018,30.386666666666667,0.0737656359375652,0,15336886.0,29259.0,2377962.0,0.1134999999999999,0.083,167.98,0.7014778351999817,33.15,0.0044955237390468,-5.400167443036649,5.400167443036649,0
PAN - PRUDENCIAL,2019-06-01,16345345.0,3783.0,2298576.0,0.1296,0.0837,170.58,0.710811074100004,30.69666666666667,0.0720932181102338,0,15313030.0,34961.0,2377962.0,0.1166,0.0819999999999999,167.89,1.8887030879999989,30.82333333333333,0.004440828258069,-5.412463657399671,5.412463657399671,0
PAN - PRUDENCIAL,2019-09-01,16865248.0,1090.0,2309501.0,0.1286,0.0817,170.5,0.2600889164000142,30.59,0.0706182256014479,0,15682170.0,10960.0,2278425.0,0.1186,0.0810999999999999,169.35,0.7208535743999933,28.546666666666667,0.0032947702138994,-5.712118641453867,5.712118641453867,0
PAN - PRUDENCIAL,2019-12-01,17299562.0,4742.0,2309501.0,0.1274,0.0796,171.91,1.767530865000011,29.096666666666664,0.0824284355789263,0,16104753.0,32220.0,2278425.0,0.1216,0.0877999999999999,169.09,0.3894135824999978,28.71666666666667,0.0027994975913539,-5.875511886146835,5.875511886146835,0
PAN - PRUDENCIAL,2020-03-01,18114067.0,5417.0,2396524.0,0.1562,0.0996,168.09,0.5308473674999981,28.24,0.0783937037655536,0,16866394.0,2626.0,2298576.0,0.1193,0.0844999999999999,169.51,1.507011320000018,30.386666666666667,0.0024198634552588,-6.0216213678956265,6.0216213678956265,0
PAN - PRUDENCIAL,2020-06-01,18170624.0,36.0,2396524.0,0.1583999999999999,0.1013,153.27,-0.4306129372000034,24.44333333333333,0.0868385034527476,0,16345345.0,3783.0,2298576.0,0.1296,0.0837,170.58,0.710811074100004,30.69666666666667,0.0027043895377308,-5.910171018460032,5.910171018460032,0
PAN - PRUDENCIAL,2020-09-01,18570840.0,510.0,2113560.0,0.1642,0.1011,165.34,1.2447095295999857,21.71666666666667,0.0799733644728624,0,16865248.0,1090.0,2309501.0,0.1286,0.0817,170.5,0.2600889164000142,30.59,0.0022297185753921,-6.103647692850699,6.103647692850699,0
PARANÁ BANCO - PRUDENCIAL,2018-03-01,2581749.0,27314.0,1002115.0,0.1972,0.1524,167.98,0.7014778351999817,33.15,0.0896369395384754,0,2981334.0,3246.0,830673.0,0.2019,0.1523,164.34,0.9630321349999972,41.17333333333333,0.1589943906896836,-1.665729406963048,1.665729406963048,0
